"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"2409","CNS stimulants and drugs used for ADHD","CNS stimulants and drugs used for ADHD","0404000S0","Atomoxetine hydrochloride"
"2410","Contraceptives","Progestogen-only contraceptives","0703021L0","Levonorgestrel"
"2411","Enteral nutrition","Tube feed - Condition specific (paed)","0914041D0","Tube feed 1.2 kcal/ml peptide based"
"2412","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020C0","Diltiazem hydrochloride"
"2413","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010C0","Azatadine maleate"
"2414","Enteral nutrition","Tube feed - Condition specific","0914033B0","Tube feed 1 kcal/ml soya based with fibre (0914033)"
"2415","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020AB","Hamamalis"
"2416","Nitrates, calcium-channel blockers & other antianginal drugs","Other antianginal drugs","0206030Z0","Ranolazine"
"2417","Cytotoxic drugs","Other antineoplastic drugs","0801050BT","Nintedanib"
"2418","Cytotoxic drugs","Other antineoplastic drugs","0801050AU","Temsirolimus"
"2419","Laxatives","Osmotic laxatives","0106040X0","Macrogol 4000"
"2420","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030B0","Pimecrolimus"
"2421","Anti-infective skin preparations","Antifungal preparations","1310020E0","Bifonazole"
"2422","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020P0","Miconazole nitrate"
"2423","Hypertension and heart failure","Alpha-adrenoceptor blocking drugs","0205040D0","Doxazosin mesilate"
"2424","Dry Mouth Products","Dry Mouth Products","2121","Dry Mouth Products"
"2425","Fluids and electrolytes","Parent prepn for fluid and electrolyte imb","0902022I0","Gelatin"
"2426","Skin cleansers,antiseptics and desloughing agents","Alcohols and saline","1311010U0","Solvent ether"
"2427","Emollient and barrier preparations","Emollients","130201100","Emollient bath and shower preparations"
"2428","Cytotoxic drugs","Antimetabolites","0801030S0","Tegafur"
"2429","Antiplatelet drugs","Antiplatelet drugs","0209000A0","Aspirin"
"2430","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010K0","Follitropin beta"
"2431","Positive inotropic drugs","Cardiac glycosides","0201010AA","Digoxin antibody"
"2432","Antifungal drugs","Other antifungals","0502050C0","Terbinafine hydrochloride"
"2433","Acne and rosacea","Topical preparations for acne","1306010V0","Tretinoin"
"2434","Antiviral drugs","HIV infection","0503010AL","Atazanavir and cobicistat"
"2435","Laxatives","Bulk-forming laxatives","0106010H0","Methylcellulose"
"2436","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010U0","Cabergoline"
"2437","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020W0","Wasp and bee venom allergy preparations"
"2438","Oral nutrition","Thickener","0913161B0","Powder thickener - starch based (0913161)"
"2439","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020J0","Daunorubicin"
"2440","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010D0","Diflunisal"
"2441","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000V0","Drotrecogin alfa"
"2442","Skin Adhesive, Sterile","Skin Adhesive, Sterile","2015","Skin Adhesive, Sterile"
"2443","Antibacterial drugs","Quinolones","0501120Q0","Norfloxacin"
"2444","Cytotoxic drugs","Other antineoplastic drugs","0801050BC","Ipilimumab"
"2445","Selective preparations","Poisoning antidotes","1902070E0","Charcoal"
"2446","Laxatives","Stimulant laxatives","0106020M0","Senna"
"2447","Vitamins","Vitamin B group","0906025P0","Riboflavin"
"2448","Antifungal drugs","Triazole antifungals","0502010D0","Voriconazole"
"2449","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010J0","Magnesium trisilicate"
"2450","Sex Hormones","Male sex hormones and antagonists","0604020U0","Testosterone esters"
"2451","Oral nutrition","Fortifier - Energy and protein","0913141C0","RtS 3.3 kcal/ml energy and higher protein liquid (0913141)"
"2452","Cytotoxic drugs","Other antineoplastic drugs","0801050AF","Topotecan"
"2453","Anti-arrhythmic drugs","Drugs for arrhythmias","0203020P0","Mexiletine hydrochloride"
"2454","Oral nutrition","Infant follow on formula - Condition specific","0913131A0","Powder amino acid formula (0913131)"
"2455","Cytotoxic drugs","Other antineoplastic drugs","0801050R0","Mitotane"
"2456","Antibacterial drugs","Penicillins","0501012U0","Temocillin sodium"
"2457","Oral nutrition","Vit & min supplement - Condition specific","0913282A0","Liquid micronutrient supplement (0913282)"
"2458","Antisecretory drugs and mucosal protectants","H2-receptor antagonists","0103010N0","Nizatidine"
"2459","Antiepileptic drugs","Control of epilepsy","0408010AI","Eslicarbazepine acetate"
"2460","Oral nutrition","Non-ACBS condition specific vitamin & mineral supplement","0913472A0","Tabs/Caps OTC cond specific vitamin & mineral supp (0913472)"
"2461","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AF","Nicotinic acid derivatives"
"2462","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000S0","Tropicamide"
"2463","Drugs used in psychoses and related disorders","Antipsychotic drugs","040201010","Zuclopenthixol acetate"
"2464","Waters","Sterile water","1914010A0","Sterile water"
"2465","Drugs affecting the immune response","Anti-lymphocyte monoclonal antibodies","0802030E0","Alemtuzumab"
"2466","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050A0","Aluminium sulfate"
"2467","Waters","Waters","191402000","Other purified water preparations"
"2468","Laxatives","Other drugs used in constipation","0106070B0","Linaclotide"
"2469","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020AE","Mirabegron"
"2470","Antibacterial drugs","Metronidazole, tinidazole and ornidazole","0501110G0","Tinidazole"
"2471","Drugs acting on the nose","Drugs used in nasal allergy","1202010T0","Triamcinolone acetonide"
"2472","Indwelling Pleural Cath Drain System","Indwelling Pleural Cath Drain System","2133","Indwelling Pleural Cath Drain System"
"2473","Antiepileptic drugs","Control of epilepsy","0408010AM","Cannabidiol"
"2474","Other endocrine drugs","Drugs affecting gonadotrophins","0607020Y0","Linzagolix"
"2475","Sex Hormones","Female sex hormones and their modulators","0604011X0","Raloxifene hydrochloride"
"2476","Drugs for soft-tissue disorders and topical pain relief","Rubefacients, topical NSAIDs, capsaicin and poultices","1003020AD","Arnica montana"
"2477","Drugs used in rheumatic diseases and gout","Corticosteroids","1001022G0","Hydrocortisone acetate"
"2478","Antisecretory drugs and mucosal protectants","Proton pump inhibitors","0103050T0","Rabeprazole sodium"
"2479","Dyspepsia and gastro-oesophageal reflux disease","Compound alginates and proprietary indigestion preparations","0101021B0","Alginic acid compound preparations"
"2480","Skin cleansers,antiseptics and desloughing agents","Alcohols and saline","1311010S0","Sodium chloride"
"2481","Enteral nutrition","Non-ACBS condition specific tube feed","0914071B0","T/F non ACBS 1.5kcal/ml for use in pulmon disease (0914071)"
"2482","Hypnotics and anxiolytics","Hypnotics","0401010P0","Lormetazepam"
"2483","Drugs affecting intestinal secretions","Pancreatin","0109040N0","Pancreatin"
"2484","Hypnotics and anxiolytics","Anxiolytics","0401020P0","Lorazepam"
"2485","Cytotoxic drugs","Alkylating drugs","0801010W0","Chlormethine hydrochloride"
"2486","Fluids and electrolytes","Oral preparation for fluid and electrolyte imbalance","0902011AB","Sodium zirconium cyclosilicate"
"2487","Drugs for genito-urinary disorders","Drugs for premature ejaculation","0704060A0","Dapoxetine hydrochloride"
"2488","Antiepileptic drugs","Control of epilepsy","040801020","Valproic acid"
"2489","Antiviral drugs","Viral hepatitis","0503032I0","Elbasvir/grazoprevir"
"2490","Antiviral drugs","HIV infection","0503010AA","Emtricitabine and tenofovir disoproxil"
"2491","Drugs used in diabetes","Insulin","0601012G0","Insulin zinc suspension"
"2492","Stable angina, acute coronary syndromes and fibrinolysis","Fibrinolytic drugs","0210020K0","Reteplase"
"2493","Treatment of glaucoma","Treatment of glaucoma","1106000AJ","Brinzolamide and timolol"
"2494","Vaccines and antisera","Vaccines and antisera","1404000AH","Human papillomavirus (Type 6,11,16,18)"
"2495","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020V0","Zoledronic acid"
"2496","Cytotoxic drugs","Antimetabolites","0801030W0","Fludarabine phosphate"
"2497","Sex hormones and hormone antagonists in malignant disease","Progestogens","0803020L0","Megestrol acetate"
"2498","Anaemias and some other blood disorders","Hypoplastic,haemolytic and renal anaemias","0901030E0","Epoetin beta"
"2499","Analgesics","Non-opioid analgesics and compound preparations","0407010W0","Aspirin combined preparations"
"2500","Drugs for genito-urinary disorders","Bladder instillations and urological surgery","0704040D0","Chlorhexidine acetate"
"2501","Local preparations for anal and rectal disorders","Compound haemorrhoidal preparations with corticosteroid","0107020J0","Hydrocortisone"
"2502","Lipid-regulating drugs","Lipid-regulating drugs","0212000AD","Colesevelam hydrochloride"
"2503","Mydriatics and cycloplegics","Mydriatics and cycloplegics","1105000P0","Phenylephrine hydrochloride"
"2504","General anaesthesia","Sedative and analgesic peri-operative drgs","1501042E0","Ketorolac trometamol"
"2505","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030AF","Secukinumab"
"2506","Antiviral drugs","Coronavirus","0503060A0","Molnupiravir"
"2507","Other endocrine drugs","Metreleptin","0607050A0","Metreleptin"
"2508","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010F0","Chlorprothixene"
"2509","Bronchodilators","Adrenoceptor agonists","0301011F0","Fenoterol hydrobromide"
"2510","Metabolic disorders","Drugs used in metabolic disorders","0908010AS","Trientine tetrahydrochloride"
"2511","Drugs used in diabetes","Insulin","0601012F0","Biphasic insulin lispro"
"2512","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010P0","Pergolide mesilate"
"2513","Other endocrine drugs","Bromocriptine and other dopaminergic drugs","0607010C0","Cabergoline"
"2514","Antiepileptic drugs","Control of epilepsy","0408010Y0","Sultiame"
"2515","Oral nutrition","Non-ACBS gluten free food","0913461E0","Specialist food replacer OTC or disc bread (0913461)"
"2516","Drugs acting on the nose","Drugs used in nasal allergy","1202010Y0","Fluticasone propionate/azelastine hydrochloride (Nasal)"
"2517","Treatment of glaucoma","Treatment of glaucoma","1106000AC","Brinzolamide"
"2518","Antibacterial drugs","Cephalosporins and other beta-lactams","0501020AD","Cefepime"
"2519","Antibacterial drugs","Cephalosporins and other beta-lactams","0501021F0","Cefpodoxime"
"2520","Drugs affecting the immune response","Antiproliferative immunosuppressants","0802010N0","Mycophenolic sodium"
"2521","Oral nutrition","Infant formula - Condition specific","0913107A0","Powder amino acid formula (0913107)"
"2522","Preparations for eczema and psoriasis","Drugs affecting the immune response","1305030J0","Tralokinumab"
"2523","Drugs used in parkinsonism and related disorders","Antimuscarinic drugs used in parkinsonism","0409020C0","Trihexyphenidyl hydrochloride"
"2524","Sex Hormones","Female sex hormones and their modulators","0604011D0","Ethinylestradiol"
"2525","Enteral nutrition","Tube feed - Fortifier condition specific","0914051A0","Tube feed additive 1 kcal/ml higher protein liquid (0914051)"
"2526","Drugs used in neuromuscular disorders","Drugs which enhance neuromuscular transmission","1002010H0","Edrophonium chloride"
"2527","Emollient and barrier preparations","Emollients","1302011M0","Liquid paraffin"
"2528","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010B0","Azapropazone"
"2529","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000L0","Hyoscine hydrobromide"
"2530","Topical corticosteroids","Topical corticosteroids","1304000L0","Diflucortolone valerate"
"2531","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020T0","Verapamil hydrochloride"
"2532","Diuretics","Thiazides and related diuretics","0202010B0","Bendroflumethiazide"
"2533","Hypnotics and anxiolytics","Anxiolytics","0401020G0","Bromazepam"
"2534","Sex Hormones","Female sex hormones and their modulators","0604011K0","Estradiol valerate"
"2535","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","120304000","Other mouth wash, gargle and dentifrice preparations"
"2536","Anaemias and some other blood disorders","Drugs used in neutropenia","0901060K0","Lenograstim"
"2537","Skin cleansers,antiseptics and desloughing agents","Alcohols and saline","1311010A0","Alcohol"
"2538","Anti-infective skin preparations","Preparations for minor cuts and abrasions","1310050H0","Hydrogen peroxide"
"2539","Antiviral drugs","HIV infection","0503010AC","Darunavir"
"2540","Emollient and barrier preparations","Emollients","1302010M0","Paraffin soft yellow"
"2541","Topical corticosteroids","Topical corticosteroids","1304000J0","Desoximetasone"
"2542","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010AE","Rupatadine fumarate"
"2543","Analgesics","Antimigraine drugs","0407041AD","Rimegepant"
"2544","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010V0","Tamsulosin and dutasteride hydrochloride"
"2545","Cough preparations","Expectorant and demulcent cough preparations","0309020N0","Powdered opium"
"2546","Antiepileptic drugs","Control of epilepsy","0408010AJ","Retigabine"
"2547","Anti-infective skin preparations","Antibacterial preparations","1310012F0","Fusidic acid"
"2548","Anti-infective skin preparations","Antibacterial preparations","1310011K0","Mafenide"
"2549","Drugs used in psychoses and related disorders","Antipsychotic depot injections","0402020AD","Aripiprazole"
"2550","Bronchodilators","Theophylline","0301030S0","Theophylline"
"2551","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913227B0","Powder 10g protein equivalent (0913227)"
"2552","Cytotoxic drugs","Antimetabolites","0801030H0","Fluorouracil (Antimetabolites)"
"2553","Intravenous nutrition","Intravenous nutrition","0903000P0","Intravenous nutrition supplements"
"2554","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020J0","Hydrocortisone"
"2555","Oral nutrition","Non-ACBS condition specific complete infant formula","0913352A0","Powder disc or non ACBS lactose free formula (0913352)"
"2556","Enteral nutrition","Tube feed - Standard","0914011I0","Tube feed 1.5 kcal/ml higher protein (0914011)"
"2557","General anaesthesia","Intravenous anaesthetics","1501010P0","Thiopental sodium"
"2558","Peak Flow Meters","Peak Flow Meters","2112","Peak Flow Meters"
"2559","General anaesthesia","Antimuscarinic drugs","1501030G0","Glycopyrronium bromide"
"2560","Local anaesthetics","Local anaesthetics","1107000Q0","Proxymetacaine hydrochloride"
"2561","Drugs used in psychoses and related disorders","Antipsychotic depot injections","0402020AC","Olanzapine embonate"
"2562","Oral nutrition","ONS - Cancer specific","0913031A0","Ready to serve 1.3 - 1.5 kcal/ml milkshake (0913031)"
"2563","Antidepressant drugs","Other antidepressant drugs","0403040AA","Levomilnacipran"
"2564","Nitrates, calcium-channel blockers & other antianginal drugs","Calcium-channel blockers","0206020M0","Nimodipine"
"2565","Sex Hormones","Anabolic steroids","0604030L0","Nandrolone decanoate"
"2566","Drugs used in diabetes","Antidiabetic drugs","0601023AM","Canagliflozin"
"2567","Drugs affecting intestinal secretions","Drugs affecting biliary composition and flow","0109010V0","Obeticholic acid"
"2568","Sunscreens and camouflagers","Sunscreening preparations","1308010V0","Tretinoin"
"2569","Analgesics","Antimigraine drugs","0407042Q0","Pizotifen malate"
"2570","Diuretics","Potassium sparing diuretics and compounds","0202040S0","Spironolactone with thiazides"
"2571","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000K0","Metoprolol tartrate"
"2572","Drugs affecting bone metabolism","Bisphosphonates and other drugs","0606020A0","Alendronic acid"
"2573","Antiviral drugs","HIV infection","0503010AB","Tipranavir"
"2574","Oral nutrition","Fortifier - Energy and protein","0913141D0","Ready to serve 3.3 kcal/ml higher protein dessert (0913141)"
"2575","Drugs used in substance dependence","Opioid dependence","0410030E0","Naltrexone hydrochloride"
"2576","Minerals","Calcium and magnesium","0905012I0","Cinacalcet hydrochloride"
"2577","Oral nutrition","Food - Low protein","0913261P0","Specialist food replacer rolls/baguettes (0913261)"
"2578","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000P0","Mebeverine hydrochloride"
"2579","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913226A0","Powder 5g protein equivalent (0913226)"
"2580","Drugs used in diabetes","Antidiabetic drugs","0601023S0","Rosiglitazone"
"2581","Cytotoxic drugs","Other antineoplastic drugs","0801050CQ","Dacomitinib"
"2582","Other endocrine drugs","Bromocriptine and other dopaminergic drugs","0607010T0","Quinagolide hydrochloride"
"2583","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000AB","Aluminium sulfate"
"2584","Drugs used in the treatment of obesity","Centrally-acting appetite suppressants","0405020U0","Naltrexone/bupropion"
"2585","Miscellaneous ophthalmic preparations","Tear deficiency, eye lubricant and astringent","1108010N0","Paraffin soft yellow"
"2586","Drugs used in rheumatic diseases and gout","Gout and cytotoxic induced hyperuicaemia","1001040P0","Sulfinpyrazone"
"2587","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101010P0","Co-simalcite (Simeticone/hydrotalcite)"
"2588","Emollient and barrier preparations","Emollients","1302010E0","Dexpanthenol"
"2589","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AH","Rutosides"
"2590","Treatment of glaucoma","Treatment of glaucoma","1106000Q0","Dipivefrine hydrochloride"
"2591","Beta-adrenoceptor blocking drugs","Beta-adrenoceptor blocking drugs","0204000Q0","Propranolol hydrochloride with diuretic"
"2592","Vaccines and antisera","Vaccines and antisera","1404000AR","Japanese encephalitis vaccine (Inactivated,adsorbed)"
"2593","Cytotoxic drugs","Other antineoplastic drugs","0801050F0","Carboplatin"
"2594","Positive inotropic drugs","Phosphodiesterase Type-3 inhibitors","0201020M0","Milrinone lactate"
"2595","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913225C0","Ready to serve 10g protein equivalent (0913225)"
"2596","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AF","Gluten free/low protein sweet/savoury"
"2597","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AB","Gluten free/wheat free cooking aids"
"2598","Sympathomimetics and other vasoconstrictor drugs","Cardiopulmonary resuscitation","0207030A0","Adrenaline"
"2599","Antibacterial drugs","Cephalosporins and other beta-lactams","0501023A0","Aztreonam"
"2600","Bronchodilators","Compound bronchodilator preparations","0301040AA","Glycopyrronium/formoterol"
"2601","Oral nutrition","ONS - Standard (paed)","0913021G0","Ready to serve 1.5 kcal/ml smoothie (0913021)"
"2602","Cytotoxic drugs","Other antineoplastic drugs","0801050AD","Trastuzumab"
"2603","Oral nutrition","Ketogenic diet","0913181L0","Powder 4:1 formula (0913181)"
"2604","Bag Closures","Bag Closures","2320","Bag Closures"
"2605","Sex Hormones","Anabolic steroids","0604030S0","Androstanalone"
"2606","Antiviral drugs","HIV infection","0503010AD","Maraviroc"
"2607","Oral nutrition","Inherited metabolic disorder - Protein source","0913202A0","Powder 77g protein equivalent per 100g (0913202)"
"2608","Antiepileptic drugs","Control of epilepsy","0408010X0","Vigabatrin"
"2609","Antibacterial drugs","Tetracyclines","0501030F0","Demeclocycline hydrochloride"
"2610","Corticosteroids and other anti-inflammatory preparations","Corticosteroids","1104010R0","Prednisolone acetate"
"2611","Treatment of glaucoma","Treatment of glaucoma","1106000AK","Tafluprost"
"2612","Hypnotics and anxiolytics","Hypnotics","0401010F0","Clomethiazole"
"2613","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010S0","Sulindac"
"2614","Antiviral drugs","Viral hepatitis","0503032D0","Simeprevir"
"2615","Antibacterial drugs","Macrolides","0501050N0","Erythromycin stearate"
"2616","Oral nutrition","Non-ACBS condition specific complete infant formula","0913381A0","Pdr disc condition specific complete infant formula(0913381)"
"2617","Drugs acting on the oropharynx","Lozenges and sprays","1203030Z0","Dichlorobenzyl alcohol"
"2618","Compound vitamin and mineral formulations","Compound vitamin and mineral formulations","091000000","Other compound vitamin/mineral formulation preparations"
"2619","Drugs affecting the immune response","Other immunomodulating drugs","0802040AC","Canakinumab"
"2620","Laxatives","Stimulant laxatives","0106020C0","Bisacodyl"
"2621","Anticoagulants and protamine","Parenteral anticoagulants","0208010E0","Epoprostenol sodium"
"2622","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020R0","Naphazoline hydrochloride"
"2623","Antiviral drugs","Respiratory syncytial virus","0503050B0","Ribavirin"
"2624","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010W0","Low protein biscuits"
"2625","Antibacterial drugs","Antituberculosis drugs","0501090S0","Rifampicin combined preparations"
"2626","Anticoagulants and protamine","Oral anticoagulants","0208020I0","Pentosan polysulfate sodium"
"2627","Inhalation Solutions","Inhalation Solutions","2132","Inhalation Solutions"
"2628","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010L0","Gluten free cakes/pastries"
"2629","Minerals","Zinc and other minerals","090504700","Other selenium preparations"
"2630","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020X0","Emedastine"
"2631","Anaemias and some other blood disorders","Drugs used to mobilise stem cells","0901070B0","Plerixafor"
"2632","Antiviral drugs","Viral hepatitis","0503032C0","Sofosbuvir"
"2633","Vaccines and antisera","Vaccines and antisera","140400030","Hepatitis A"
"2634","Diuretics","Loop diuretics","0202020U0","Torasemide"
"2635","Diuretics","Thiazides and related diuretics","0202010L0","Hydrochlorothiazide"
"2636","Cough preparations","Expectorant and demulcent cough preparations","030902040","Diphenhydramine hydrochloride"
"2637","Oral nutrition","Food - Low protein","0913261H0","Specialist food replacer bread (0913261)"
"2638","Cytotoxic drugs","Other antineoplastic drugs","0801050Q0","Irinotecan hydrochloride"
"2639","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020Y0","Mepolizumab"
"2640","Diuretics","Potassium-sparing diuretics and aldosterone antagonists","0202030C0","Amiloride hydrochloride"
"2641","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010K0","Levomepromazine maleate"
"2642","Antiviral drugs","HIV infection","0503010S0","Stavudine"
"2643","Contraceptives","Progestogen-only contraceptives","0703022N0","Norethisterone enantate"
"2644","Drugs for genito-urinary disorders","Bladder instillations and urological surgery","0704040H0","Mandelic acid"
"2645","Sympathomimetics and other vasoconstrictor drugs","Vasoconstrictor sympathomimetics","0207020Y0","Midodrine hydrochloride"
"2646","Drugs used in obstetrics","Prostaglandins and oxytocics","0701010L0","Ergometrine maleate"
"2647","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","0107010G0","Cinchocaine hydrochloride"
"2648","Sex hormones and hormone antagonists in malignant disease","Hormone antagonists","0803042P0","Triptorelin acetate"
"2649","Anti-infective eye preparations","Antibacterials","1103010S0","Propamidine isetionate"
"2650","Cough preparations","Expectorant and demulcent cough preparations","0309020AH","Ammonium chloride/diphenhydramine hydrochloride"
"2651","Hypertension and heart failure","Vasodilator antihypertensive drugs","0205010E0","Diazoxide"
"2652","Cytotoxic drugs","Other antineoplastic drugs","0801050BU","Asparaginase"
"2653","Topical corticosteroids","Topical corticosteroids","1304000R0","Fluocortolone"
"2654","Acne and rosacea","Topical preparations for acne","1306010Z0","Adapalene and benzoyl peroxide"
"2655","Wound management products","Gel and colloid dressings","1313080S0","Sucralfate"
"2656","Dyspepsia and gastro-oesophageal reflux disease","Antacids and simeticone","0101012A0","Gripe mixtures"
"2657","Cytotoxic drugs","Anthracyclines and cytotoxic antibiotics","0801020D0","Dactinomycin"
"2658","Anaemias and some other blood disorders","Drugs used in neutropenia","0901060N0","Molgramostim"
"2659","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020G0","Flavoxate hydrochloride"
"2660","Lipid-regulating drugs","Lipid-regulating drugs","0212000AM","Inclisiran"
"2661","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","0107010B0","Acetarsol"
"2662","Drugs used in parkinsonism and related disorders","Essential tremor,chorea,tics and related disorders","0409030S0","Tafamidis"
"2663","Anticoagulants and protamine","Parenteral anticoagulants","0208010AB","Fondaparinux sodium"
"2664","Emollient and barrier preparations","Emollients","1302011L0","Light liquid paraffin"
"2665","Anticoagulants and protamine","Oral anticoagulants","0208020N0","Phenindione"
"2666","Vitamins","Vitamin E","090605000","Other vitamin E preparations 0906050"
"2667","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000B0","Betahistine hydrochloride"
"2668","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010V0","Entacapone"
"2669","Thyroid and antithyroid drugs","Antithyroid drugs","0602020H0","Potassium iodate"
"2670","Vaccines and antisera","Vaccines and antisera","1404000AU","Anthrax vaccine"
"2671","Antiviral drugs","HIV infection","0503010AQ","Bictegravir/emtricitabine/tenofovir alafenamide"
"2672","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030AA","Apremilast"
"2673","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010U0","Gluten free/wheat free bread"
"2674","Oral nutrition","ONS - Impaired GI function specific","0913061E0","Powder 4.4 kcal/g amino acid based ONS with MCT (0913061)"
"2675","Drugs used in rheumatic diseases and gout","Non-steroidal anti-inflammatory drugs","1001010AI","Lornoxicam"
"2676","Cytotoxic drugs","Other antineoplastic drugs","0801050BW","Panobinostat"
"2677","Skin cleansers,antiseptics and desloughing agents","Oxidisers and dyes","1311060Q0","Potassium permanganate"
"2678","Antiepileptic drugs","Control of epilepsy","0408010N0","Phenobarbital"
"2679","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020AB","Verteporfin"
"2680","Hypertension and heart failure","Renin-angiotensin system drugs","0205052AD","Azilsartan medoxomil"
"2681","Antispasmodics and other drugs altering gut motility","Antispasmodics and other drugs altering gut motility","0102000N0","Hyoscine butylbromide"
"2682","Hypertension and heart failure","Renin-angiotensin system drugs","0205051C0","Moexipril hydrochloride"
"2683","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition (infant)","0913572A0","Pdr disc/non ACBS Protein SfI metabolic cond (inf) (091357)"
"2684","Anti-infective eye preparations","Antifungals","1103020E0","Econazole nitrate"
"2685","Bacterial Decolonisation Products","Bacterial Decolonisation Products","2140","Bacterial Decolonisation Products"
"2686","Drugs for genito-urinary disorders","Drugs for erectile dysfunction","0704050R0","Tadalafil"
"2687","Oral nutrition","Non-ACBS gluten free food","0913461L0","Specialist food replacer OTC/disc cake (0913461)"
"2688","Anaemias and some other blood disorders","Drugs used in platelet disorders","0901040B0","Romiplostim"
"2689","Bronchodilators","Adrenoceptor agonists","0301012A0","Adrenaline"
"2690","Oral nutrition","Food - Low protein","0913261M0","Specialist food replacer ready meals (0913261)"
"2691","Skin cleansers,antiseptics and desloughing agents","Oxidisers and dyes","1311060T0","Silver nitrate"
"2692","Cytotoxic drugs","Alkylating drugs","0801010J0","Estramustine phosphate"
"2693","Bronchodilators","Adrenoceptor agonists","0301011B0","Bambuterol hydrochloride"
"2694","Oral nutrition","Non-ACBS ONS","0913311E0","Ready to serve discontinued juice (0913311)"
"2695","Oral nutrition","Non ACBS ONS - Dysphagia specific","0913671C0","Powder 1.3 kcal/ml milkshake pre-thickened (0913671)"
"2696","Laxatives","Osmotic laxatives","0106040F0","Lactitol"
"2697","Drugs affecting the immune response","Other immunomodulating drugs","0802040M0","Interferon beta"
"2698","Catheter Maintenance Products","Catheter Maintenance Products","2113","Catheter Maintenance Products"
"2699","Antibacterial drugs","Some other antibacterials","0501070W0","Linezolid"
"2700","Antiepileptic drugs","Control of epilepsy","0408010AF","Rufinamide"
"2701","Treatment of glaucoma","Treatment of glaucoma","1106000X0","Pilocarpine hydrochloride"
"2702","Cytotoxic drugs","Antimetabolites","0801030P0","Methotrexate"
